Alliance,Carrier,Origin,Destination,Equip,seats_f,start_date,end_date,days_flying
non_aligned,EK,ABJ,ACC,77W,8,2015-01-06,2015-03-28,81
non_aligned,EK,ABV,DXB,772,12,2015-02-01,2015-03-28,55
non_aligned,EK,ACC,ABJ,77W,8,2015-01-06,2015-03-28,81
non_aligned,EK,ACC,DXB,77W,8,2015-01-06,2015-03-28,81
non_aligned,EK,ADD,DXB,332,12,2014-12-01,2015-03-28,117
non_aligned,EK,ADL,DXB,77W,8,2014-12-01,2015-04-04,124
non_aligned,EK,AKL,BNE,388,14,2014-12-01,2015-03-28,117
non_aligned,EK,AKL,MEL,388,14,2014-12-01,2015-04-04,124
non_aligned,EK,AKL,SYD,388,14,2014-12-01,2015-04-04,124
non_aligned,EK,ALG,DXB,345,12,2014-12-02,2015-03-27,115
non_aligned,EK,AMD,DXB,332,12,2014-12-01,2015-03-29,118
non_aligned,EK,AMD,DXB,332,12,2014-12-02,2015-03-27,115
non_aligned,EK,AMM,DXB,332,12,2014-12-01,2015-03-26,115
non_aligned,EK,AMM,DXB,332,12,2015-01-02,2015-03-26,83
non_aligned,EK,AMM,DXB,77W,8,2015-01-03,2015-03-21,77
non_aligned,EK,AMS,DXB,388,14,2014-12-01,2015-03-28,117
non_aligned,EK,AMS,DXB,77W,8,2014-12-28,2015-03-28,90
non_aligned,EK,ARN,DXB,77W,8,2015-01-20,2015-03-28,67
non_aligned,EK,ATH,DXB,345,12,2015-01-01,2015-03-28,86
non_aligned,EK,BAH,DXB,332,12,2014-12-01,2015-10-24,327
non_aligned,EK,BAH,DXB,332,12,2014-12-21,2015-03-28,97
non_aligned,EK,BAH,DXB,332,12,2014-12-25,2015-03-26,91
non_aligned,EK,BAH,DXB,332,12,2015-02-04,2015-03-26,50
non_aligned,EK,BAH,DXB,332,12,2015-02-04,2015-04-01,56
non_aligned,EK,BAH,DXB,332,12,2015-02-05,2015-03-31,54
non_aligned,EK,BCN,DXB,388,14,2014-12-01,2015-03-28,117
non_aligned,EK,BEY,DXB,332,12,2015-01-04,2015-03-27,82
non_aligned,EK,BEY,DXB,332,12,2015-01-18,2015-03-28,69
non_aligned,EK,BEY,DXB,345,12,2015-01-05,2015-03-28,82
non_aligned,EK,BGW,DXB,332,12,2014-12-05,2015-03-27,112
non_aligned,EK,BGW,DXB,332,12,2015-01-24,2015-03-28,63
non_aligned,EK,BHX,DXB,77W,8,2014-12-01,2015-03-28,117
non_aligned,EK,BHX,DXB,77W,8,2014-12-01,2015-03-28,117
